 	Area	Mean	Min	Max
2314	344064	514.028	366	4095
2315	344064	514.261	370	4095
2316	344064	513.642	369	4095
2317	344064	513.761	363	4095
2318	344064	513.642	367	4095
2319	344064	513.922	369	4095
2320	344064	515.910	372	4095
2321	344064	513.947	370	4095
2322	344064	514.265	374	4095
2323	344064	513.886	365	4095
2324	344064	514.268	368	4095
2325	344064	514.616	370	4095
2326	344064	514.098	364	4095
2327	344064	514.138	370	4095
2328	344064	514.006	371	4095
2329	344064	513.827	365	4095
2330	344064	513.784	371	4095
2331	344064	513.957	368	4095
2332	344064	515.971	369	4095
2333	344064	514.047	371	4095
2334	344064	514.133	367	4095
2335	344064	513.943	364	4095
2336	344064	513.616	363	4095
2337	344064	513.980	369	4095
2338	344064	513.915	372	4095
2339	344064	514.719	364	4095
2340	344064	514.911	363	4095
2341	344064	514.606	373	4095
2342	344064	513.899	362	4095
2343	344064	514.436	370	4095
2344	344064	514.331	366	4095
2345	344064	513.689	366	4095
2346	344064	513.537	367	4095
2347	344064	513.971	371	4095
2348	344064	513.463	372	4095
2349	344064	513.411	369	4095
2350	344064	513.471	373	4095
2351	344064	514.181	366	4095
2352	344064	514.886	370	4095
